TIS_ID,LOCATION_LINK_DESC,LGA,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS,LATITUDE,LONGITUDE,SUBURB,POSTCODE
3090, ECHUCA-MOOROOPNA ROAD btwn MURRAY VALLEY HIGHWAY & TATURA-UNDERA ROAD,SHEPPARTON,996,142.0,0.18,-36.237299900000004,145.1525035, St Germains , 3620
3128, BARMAH-SHEPPARTON ROAD btwn BARHAM ROAD & MURRAY VALLEY HIGHWAY,MOIRA,200,35.0,0.22,-36.0599381,145.0739879, Picola , 3639
3426, TOOLAMBA ROAD btwn SIMSON ROAD & MOOROOPNA RIVER ROAD,SHEPPARTON,1300,140.0,0.14,-36.522962799999995,145.3024206, Toolamba , 3614
3428, ROSEDALE-LONGFORD ROAD btwn SOUTH GIPPSLAND HIGHWAY & LYONS STREET,WELLINGTON,584,116.0,0.25,-38.1627083,146.9381388, Rosedale , 3847
7515, NORTH ROAD btwn HUNTINGDALE ROAD & CLAYTON ROAD,MONASH,23000,1500.0,0.07,-37.9130281,145.1139217, Clayton , 3168
7146, NORTH ROAD btwn POATH ROAD & WARRIGAL ROAD,GLEN EIRA,18000,942.0,0.06,-37.9088189,145.07970480000003, Hughesdale , 3166
7728, NORTH ROAD btwn HAWTHORN ROAD & BAMBRA ROAD,GLEN EIRA,18000,967.0,0.06,-37.9017602,145.022583, Caulfield South , 3162
7522, WARRIGAL ROAD btwn OLD DANDENONG ROAD & SOUTH ROAD,KINGSTON,22000,1100.0,0.06,-37.9350869,145.0803458, Oakleigh South , 3167
7524, WARRIGAL ROAD btwn MONASH FREEWAY Offramp & MONASH FREEWAY,MONASH,22000,1300.0,0.06,-37.882567200000004,145.0903216, Chadstone , 3148
7499, PUNT ROAD btwn HIGH STREET & UNION STREET,STONNINGTON,15000,804.0,0.06,-37.852107600000004,144.9839532, Windsor , 3181
5376, MCLENNAN STREET btwn ELSIE JONES DRIVE & MIDLAND HIGHWAY,SHEPPARTON,11000,1100.0,0.12,-36.3959125,145.35024769999998, Mooroopna , 3629
5552, MIDLAND HIGHWAY btwn BENALLA ROAD & BENALLA-TOCUMWAL ROAD,BENALLA,1600,274.0,0.21,-36.445048799999995,145.8319539, Stewarton , 3725
4963, MIDLAND HIGHWAY btwn MAINDAMPLE-BENALLA ROAD & HIGHETT STREET,MANSFIELD,751,77.0,0.13,-36.9951345,146.0566569, Mansfield , 3722
5382, JOHNSTONE STREET btwn ELIZABETH STREET & MIDLAND HIGHWAY,MOUNT ALEXANDER,4200,341.0,0.1,-37.0768079,144.2038975, Castlemaine , 3450
3276, TODD ROAD btwn WEST GATE FREEWAY Offramp & WILLIAMSTOWN ROAD,MELBOURNE,9900,864.0,0.1,-37.8351714,144.9142493, Port Melbourne , 3207
2870, COMMERCIAL ROAD btwn MORWELL-THORPDALE ROAD & PRINCES DRIVE,LATROBE,2700,207.0,0.09,-38.234225200000004,146.3858024, Morwell , 3840
3282, TOORA ROAD btwn POWERS STREET & SOUTH GIPPSLAND HIGHWAY,SOUTH GIPPSLAND,1800,154.0,0.11,-38.6493963,146.2060648, Foster , 3960
4107, MONBULK-SEVILLE ROAD btwn BEENAK ROAD & OLD BAKER ROAD,YARRA RANGES,456,54.0,0.14,-37.8101617,145.4685738, Wandin East , 3139
