POSTCODE,ALL_VEHICLE_DAILY_VOLUME_AVG,TRUCKS_DAILY_VOLUME_AVG,DAILY_AVG_%_OF_VOLUME_OF_TRUCKS
3380,37250,6422.0,0.163
3381,8975,986.0,0.139
3384,917,148.0,0.21
3385,12673,4594.0,0.36
3387,2444,486.0,0.243
3388,8332,1651.0,0.257
3390,8760,1261.0,0.183
3391,1093,262.0,0.295
3392,2898,540.0,0.219
3393,18489,2898.0,0.221
3395,4456,899.0,0.248
3396,4222,910.0,0.287
3400,131260,19487.0,0.194
3401,31790,7462.0,0.223
3407,2824,387.0,0.171
3409,5902,891.0,0.168
3412,1327,203.0,0.195
3413,521,141.0,0.322
3414,22095,4913.0,0.206
3418,52243,14143.0,0.274
3419,7775,2531.0,0.392
3420,5930,2306.0,0.363
3423,2551,364.0,0.169
3424,1501,312.0,0.245
3427,329793,24751.0,0.081
3428,60977,4643.0,0.079
3429,353164,21960.0,0.078
3431,13800,859.0,0.08
3434,21600,1468.0,0.092
3435,17924,1538.0,0.103
3437,338000,27116.0,0.084
3438,65600,3853.0,0.068
3440,108700,12363.0,0.101
3441,1197,35.0,0.034
3442,231951,22412.0,0.094
3444,183166,19975.0,0.114
3446,39832,4650.0,0.121
3447,17859,2044.0,0.103
3448,57576,8627.0,0.171
3450,48200,3680.0,0.093
3451,51611,5255.0,0.118
3453,89878,11343.0,0.145
3458,5129,427.0,0.122
3460,38400,4212.0,0.12
3461,11353,925.0,0.107
3462,15552,1526.0,0.127
3463,12607,1239.0,0.139
3464,11758,1442.0,0.183
3465,46723,4114.0,0.124
3467,12620,2488.0,0.244
3469,828,192.0,0.285
3472,10791,1173.0,0.132
3475,707,120.0,0.21
3477,5913,1458.0,0.276
3478,16689,2097.0,0.178
3480,12093,2345.0,0.256
3482,767,133.0,0.215
3483,5468,702.0,0.195
3485,1454,286.0,0.245
3487,608,225.0,0.455
3488,1947,502.0,0.296
3489,670,217.0,0.395
3490,17560,4284.0,0.311
3491,445,74.0,0.21
3494,5662,1075.0,0.278
3496,39276,5272.0,0.231
3498,10900,709.0,0.08
3500,234400,20155.0,0.126
3505,20038,1705.0,0.119
3507,2052,589.0,0.338
3509,1961,510.0,0.32
3512,1739,495.0,0.35
3515,36672,6575.0,0.214
3516,17664,5197.0,0.304
3517,14309,2795.0,0.244
3518,12450,2400.0,0.194
3521,3000,895.0,0.37
3522,12300,2492.0,0.247
3523,37227,5487.0,0.184
3525,11005,2098.0,0.228
3527,14261,3546.0,0.27
3530,1334,298.0,0.275
3533,8136,1939.0,0.262
3537,7871,882.0,0.166
3540,119,44.0,0.455
3544,675,70.0,0.145
3546,3461,1160.0,0.356
3549,30126,3886.0,0.188
3550,485300,27969.0,0.071
3551,149117,16657.0,0.176
3555,117700,8500.0,0.089
3556,38242,2196.0,0.088
3557,4000,1475.0,0.455
3558,34323,5743.0,0.202
3559,10281,1423.0,0.177
3561,36205,5579.0,0.198
3562,5400,862.0,0.205
3563,271,33.0,0.155
3564,145991,14096.0,0.126
3567,2104,305.0,0.17
3568,20765,3468.0,0.2
3570,1520,188.0,0.17
3571,273,28.0,0.13
3572,750,155.0,0.303
3573,1833,409.0,0.274
3575,4129,737.0,0.213
3576,4600,1110.0,0.308
3579,35237,5837.0,0.198
3580,6016,670.0,0.155
3581,3300,643.0,0.245
3584,3800,572.0,0.185
3585,66511,8778.0,0.158
3591,2200,446.0,0.25
3597,2587,652.0,0.312
3599,1260,249.0,0.245
3607,13200,1581.0,0.152
3608,59068,11464.0,0.209
3610,34821,6568.0,0.189
3612,9109,1219.0,0.163
3614,2600,230.0,0.115
3616,16411,2084.0,0.147
3617,4900,566.0,0.14
3618,917,109.0,0.145
3620,39606,4565.0,0.146
3621,10602,1881.0,0.205
3622,7900,956.0,0.135
3623,7848,1411.0,0.216
3624,1308,147.0,0.14
3629,134373,12735.0,0.119
3630,126200,7966.0,0.079
3631,96452,15747.0,0.201
3633,12700,1241.0,0.13
3634,4800,639.0,0.165
3635,8100,834.0,0.123
3636,7582,1028.0,0.17
3637,3118,570.0,0.215
3638,22016,3500.0,0.203
3639,400,66.0,0.205
3640,2500,579.0,0.295
3641,13000,2695.0,0.267
3644,49878,7258.0,0.202
3646,4698,821.0,0.231
3649,11623,2278.0,0.248
3658,127277,27147.0,0.166
3659,64002,11940.0,0.182
3660,258202,47021.0,0.186
3663,22300,6900.0,0.375
3664,2847,203.0,0.088
3665,13100,3700.0,0.36
3666,90557,24738.0,0.218
3669,32418,9572.0,0.2
3670,13000,3800.0,0.355
3672,94055,17249.0,0.182
3673,74508,16916.0,0.247
3675,26100,6500.0,0.303
3677,152000,13894.0,0.111
3678,170372,39412.0,0.189
3682,43872,12911.0,0.248
3683,43695,12633.0,0.187
3685,42965,5413.0,0.156
3687,11500,1422.0,0.163
3688,65850,17575.0,0.276
3690,442400,62778.0,0.154
3691,165996,18615.0,0.125
3695,3858,556.0,0.155
3698,6636,528.0,0.1
3699,2432,184.0,0.095
3700,4467,819.0,0.233
3701,2380,304.0,0.141
3704,1047,236.0,0.275
3705,194,19.0,0.115
3707,10323,1449.0,0.172
3708,456,39.0,0.108
3709,670,130.0,0.272
3711,2669,331.0,0.145
3712,1561,237.0,0.185
3713,576,58.0,0.125
3714,27113,3195.0,0.149
3717,34441,4631.0,0.162
3718,3400,488.0,0.175
3719,8523,1288.0,0.18
3720,3200,659.0,0.255
3722,38041,3915.0,0.127
3723,12692,1384.0,0.135
3725,4464,698.0,0.16
3726,926,74.0,0.095
3728,2925,387.0,0.182
3730,51590,4816.0,0.13
3732,1850,146.0,0.1
3735,3600,342.0,0.12
3737,36646,3089.0,0.103
3739,4200,299.0,0.09
3740,12792,989.0,0.088
3741,14182,1041.0,0.088
3747,26146,1690.0,0.081
3749,10453,898.0,0.109
3750,77300,7963.0,0.132
3751,7100,817.0,0.13
3752,63000,4671.0,0.088
3753,221300,36057.0,0.19
3754,80900,4945.0,0.071
3755,19600,1360.0,0.08
3756,218800,30209.0,0.136
3757,49951,4270.0,0.109
3758,99400,16844.0,0.138
3759,16446,1014.0,0.071
3760,4100,137.0,0.04
3761,1993,217.0,0.13
3762,24000,2145.0,0.118
3763,1610,145.0,0.11
3764,116500,17629.0,0.167
3765,143600,9976.0,0.082
3766,39100,3018.0,0.088
3767,26200,1988.0,0.087
3770,102235,13575.0,0.123
3775,32633,4055.0,0.137
3777,132591,8712.0,0.076
3778,3031,382.0,0.177
3779,2073,288.0,0.149
3781,41480,4028.0,0.121
3782,45170,2931.0,0.077
3783,87217,6034.0,0.083
3785,6500,200.0,0.035
3786,2400,95.0,0.05
3787,22700,1311.0,0.066
3788,46800,2864.0,0.073
3789,19700,1360.0,0.08
3791,62600,3912.0,0.073
3792,19700,1360.0,0.08
3793,79811,5818.0,0.086
3795,8434,978.0,0.135
3796,129500,9542.0,0.086
3797,19300,1438.0,0.083
3799,33466,2463.0,0.076
3802,726700,67580.0,0.086
3803,602100,40461.0,0.069
3804,209553,13406.0,0.072
3805,1644500,105302.0,0.075
3806,957725,66473.0,0.072
3807,212300,16435.0,0.088
3808,16873,1111.0,0.072
3809,121200,11005.0,0.092
3810,580552,55634.0,0.094
3812,148278,17313.0,0.111
3813,10100,740.0,0.103
3814,2700,266.0,0.115
3815,38400,4476.0,0.115
3816,56448,5592.0,0.117
3818,325438,28585.0,0.104
3820,265900,22962.0,0.097
3821,59800,6596.0,0.109
3822,96000,12600.0,0.163
3823,56000,7000.0,0.152
3824,95362,11504.0,0.126
3825,405756,37937.0,0.115
3831,8967,815.0,0.158
3833,2102,339.0,0.226
3835,994,102.0,0.13
3840,722636,66452.0,0.102
