OBJECTID,accident_no,accident_date,accident_time,accident_type,day_of_week,road_geometry,severity,speed_zone,node_id,longitude,latitude,suburb,postcode,node_type,lga_name,region_name,total_persons,inj_or_fatal,fatality,seriousinjury,otherinjury,noninjured,males,females,bicyclist,passenger,driver,pedestrian,pillion,motorist,old_pedestrian,old_driver,young_driver,alcohol_related,no_of_vehicles,heavyvehicle,passengervehicle,motorcycle,publicvehicle
3469816,T20180011043,2018-12-06,13.53.00,Collision with a fixed object,Tuesday,Cross intersection,Other injury accident,50 km/hr,31038,144.9023,-37.79939,Footscray,3011,Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2,2,0,0,2,0,1,1,0,1,1,0,0,0,0,1,0,No,1,0,1,0,0
3469817,T20180011046,2018-12-06,15.55.00,Collision with vehicle,Tuesday,Not at intersection,Other injury accident,100 km/hr,331672,144.86303999999998,-37.72554,Keilor Park,3042,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,6,2,0,0,2,4,1,5,0,3,3,0,0,0,0,0,0,No,3,0,3,0,0
3469818,T20180011490,2018-06-18,17.09.00,Collision with a fixed object,Monday,Cross intersection,Other injury accident,60 km/hr,263238,144.75423,-37.71615,Taylors Hill,3037,Intersection,MELTON,METROPOLITAN NORTH WEST REGION,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,No,1,0,1,0,0
3469819,T20180011493,2018-05-24,16.30.00,Collision with a fixed object,Wednesday,Not at intersection,Other injury accident,40 km/hr,339559,145.23984,-38.11768,Cranbourne West,3977,Off Road,CASEY,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,No,1,0,1,0,0
3469820,T20180011494,2018-06-19,14.50.00,Collision with vehicle,Tuesday,T intersection,Other injury accident,100 km/hr,50290,144.44543000000002,-38.265440000000005,Connewarre,3227,Intersection,GEELONG,SOUTH WESTERN REGION,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,1,0,No,2,0,2,0,0
3469821,T20180011495,2018-06-19,18.00.00,Collision with vehicle,Tuesday,Cross intersection,Other injury accident,Not known,42520,144.94955,-37.73251,Pascoe Vale,3044,Intersection,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,No,2,0,1,0,0
3469822,T20180011497,2018-06-19,16.00.00,Collision with vehicle,Monday,Not at intersection,Serious injury accident,60 km/hr,331919,145.26807,-37.85546,Boronia,3155,Non-Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,1,No,2,1,1,0,0
3469823,T20180011500,2018-06-19,18.35.00,Collision with vehicle,Monday,Not at intersection,Serious injury accident,60 km/hr,331793,145.00647,-37.78396,Northcote,3070,Non-Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,No,2,0,1,0,0
3469824,T20180011501,2018-06-19,17.35.00,Collision with vehicle,Tuesday,Not at intersection,Other injury accident,100 km/hr,332053,145.04738,-37.7908,Kew East,3102,Non-Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,4,2,0,0,2,2,3,1,0,1,3,0,0,0,0,0,0,No,3,0,3,0,0
3469825,T20180011503,2018-06-19,17.46.00,Collision with vehicle,Monday,Cross intersection,Other injury accident,60 km/hr,57526,147.60981999999998,-37.8387,Bairnsdale,3875,Intersection,EAST GIPPSLAND,EASTERN REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
3469826,T20180011505,2018-06-19,17.42.00,Collision with vehicle,Tuesday,Not at intersection,Serious injury accident,80 km/hr,331840,144.73497,-37.87357,Point Cook,3030,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,4,3,0,2,1,1,2,2,0,1,2,0,0,1,0,0,0,No,3,0,2,1,0
3469827,T20180011506,2018-06-19,18.45.00,Collision with vehicle,Tuesday,Y intersection,Other injury accident,60 km/hr,287772,144.74804,-37.86224,City of Wyndham,,Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,5,1,0,0,1,4,2,2,0,3,2,0,0,0,0,0,1,No,2,0,2,0,0
3469828,T20180011510,2018-06-19,20.00.00,Vehicle overturned (no collision),Tuesday,Not at intersection,Serious injury accident,50 km/hr,332515,145.35915,-37.93105,Belgrave South,3160,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Yes,1,0,1,0,0
3469829,T20180011512,2018-06-19,19.25.00,Struck Pedestrian,Tuesday,Cross intersection,Other injury accident,50 km/hr,35997,144.97098,-37.78588,Carlton North,3054,Intersection,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,No,1,0,1,0,0
3469830,T20180011517,2018-06-20,01.05.00,Collision with a fixed object,Wednesday,Not at intersection,Other injury accident,60 km/hr,331770,144.79033,-37.76852,Brimbank City,,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,4,2,0,0,2,2,3,0,0,2,1,0,0,0,0,0,1,No,2,0,1,0,0
3469831,T20180011975,2018-06-26,07.20.00,Collision with vehicle,Tuesday,Cross intersection,Serious injury accident,80 km/hr,35605,145.07135,-37.98217,Mentone,3194,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
3469832,T20180011976,2018-06-17,09.30.00,Collision with vehicle,Sunday,T intersection,Other injury accident,60 km/hr,29683,145.10243,-37.94123,Clarinda,3169,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
3469833,T20180011977,2018-06-23,15.00.00,Vehicle overturned (no collision),Saturday,Not at intersection,Serious injury accident,100 km/hr,339060,146.44095,-37.97412,Baw Baw Shire,,Non-Intersection,BAW BAW,EASTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,No,1,0,0,1,0
3469834,T20180011978,2018-06-26,14.30.00,Collision with vehicle,Tuesday,T intersection,Other injury accident,60 km/hr,339080,145.13737,-37.733129999999996,Eltham,3095,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,No,2,0,1,0,0
3469835,T20180011979,2018-06-26,13.50.00,Collision with a fixed object,Tuesday,Unknown,Serious injury accident,60 km/hr,331979,144.33536,-38.07865,Lovely Banks,3213,Non-Intersection,GEELONG,SOUTH WESTERN REGION,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,No,1,0,0,1,0
3469836,T20180011984,2018-06-26,14.43.00,Collision with vehicle,Tuesday,Dead end,Other injury accident,110 km/hr,332285,144.61562,-37.69828,Melton City,,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,3,3,0,0,3,0,1,2,0,1,2,0,0,0,0,0,0,No,2,0,2,0,0
3469837,T20180011986,2018-06-26,15.20.00,Collision with vehicle,Tuesday,Cross intersection,Other injury accident,70 km/hr,43861,145.31457,-38.05686,Narre Warren South,3805,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,No,2,0,1,1,0
3469838,T20180011987,2018-06-26,15.00.00,Collision with vehicle,Tuesday,Multiple intersection,Serious injury accident,80 km/hr,323886,145.06813,-37.68622,Bundoora,3083,Intersection,NILLUMBIK,METROPOLITAN NORTH WEST REGION,2,2,0,1,1,0,1,1,0,0,2,0,0,0,0,0,0,No,2,0,2,0,0
3469839,T20180011990,2018-06-26,12.00.00,Collision with vehicle,Tuesday,T intersection,Other injury accident,60 km/hr,54800,144.83494,-37.7815,Sunshine,3020,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,4,1,0,0,1,3,2,2,0,0,4,0,0,0,0,0,1,No,4,0,4,0,0
3469840,T20180011991,2018-05-28,12.00.00,Collision with vehicle,Monday,Cross intersection,Other injury accident,Not known,39785,145.28759,-37.826,Bayswater North,3153,Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,No,2,0,2,0,0
3469841,T20180011993,2018-06-26,15.35.00,Struck Pedestrian,Tuesday,T intersection,Other injury accident,50 km/hr,72314,144.39235,-38.16592,Newcomb,3219,Intersection,GEELONG,SOUTH WESTERN REGION,2,1,0,0,1,1,0,2,0,0,1,1,0,0,0,0,1,No,1,0,1,0,0
